Frame, cxs, cys, ws, hs, areas
1692,99.02858527131781,246.27761627906978,21.0,33.0,344.0
1693,98.25612052730696,246.3611111111111,21.0,32.0,354.0
1694,97.39201539201538,246.64694564694562,21.0,32.0,346.5
1695,97.13324479858343,247.19477644975652,23.0,33.0,376.5
1696,96.34231805929919,247.9672057502246,24.0,33.0,371.0
1697,95.52287581699346,248.09586056644878,25.0,33.0,382.5
1698,95.08295625942684,247.76168929110102,29.0,39.0,442.0
1699,93.27658774896655,246.58098459225852,30.0,41.0,443.5
1700,91.74882629107981,245.95970266040686,30.0,41.0,426.0
1701,90.57243319268635,245.26933895921235,31.0,42.0,474.0
1702,89.72478632478631,245.1111111111111,33.0,42.0,487.5
1703,88.45971074380165,244.45316804407713,31.0,41.0,484.0
1704,87.36277717193747,244.27553616866592,31.0,41.0,458.5
1705,86.97464503042596,244.6210277214334,32.0,41.0,493.0
1706,85.9142156862745,244.25910364145656,31.0,40.0,476.0
1707,85.38753099539495,244.59971661353168,31.0,39.0,470.5
1708,84.3920357020254,244.03673189152076,31.0,38.0,485.5
1709,84.36157024793388,244.69180440771348,30.0,34.0,484.0
1710,83.23256624825662,244.10739191073918,28.0,31.0,478.0
1711,81.93404808317088,243.949967511371,29.0,32.0,513.0
1712,80.87118320610686,243.7270992366412,29.0,32.0,524.0
1713,177.36506329113925,254.1348523206751,33.0,52.0,987.5
1714,175.8395434709634,254.255454850621,32.0,51.0,993.0
1715,174.39638269100743,254.6786680189317,31.0,51.0,986.0
1716,172.50791220010208,255.04611196188532,31.0,52.0,979.5
1717,170.54565625533365,255.10411332991978,30.0,52.0,976.5
1718,168.63095875736477,255.61399750044635,29.0,51.0,933.5
1719,166.7453528243999,255.84533477711602,29.0,51.0,923.5
1720,164.79248011569052,255.55350686912507,30.0,51.0,922.0
1721,162.8316132536665,255.08962520369366,32.0,50.0,920.5
1722,161.4426966292135,255.07078651685393,30.0,51.0,890.0
1723,159.52727272727273,254.55284090909092,32.0,52.0,880.0
1724,158.14616755793227,254.47831253713608,30.0,51.0,841.5
1725,156.9069486404834,254.41389728096678,30.0,51.0,827.5
1726,155.45883597883596,254.51957671957672,29.0,50.0,787.5
1727,153.73354166666667,253.8275,29.0,49.0,800.0
1728,152.15055131467344,253.47858354537743,28.0,50.0,786.0
1729,150.46250541829215,253.2657130472475,28.0,51.0,769.0
1730,149.2056887635167,254.32581100141044,26.0,48.0,709.0
1731,147.52630369859867,254.16930852285776,28.0,47.0,725.5
1732,145.5093224192815,253.5675306957708,29.0,49.0,733.0
1733,144.1909007773205,252.81824417009602,28.0,49.0,729.0
